od_id;od_do_code;od_tbltype;od_codeobj;od_creadat;od_majdate;od_majsrc;od_abddate;od_abdsrc
1;DO000000000001;CM;CM000180033570;07/06/2015;;;;
2;DO000000000003;CM;CM000180033569;07/06/2015;;;;
3;DO000000000002;CM;CM000180033134;07/06/2015;;;;
4;DO000000000002;CM;CM200180033134;07/06/2015;;;;
5;DO000000000010;PT;PT000180030064;07/06/2015;;;;
6;DO000000000011;PT;PT000180030065;07/06/2015;;;;
7;DO000000000012;PT;PT000180030072;07/06/2015;;;;
8;DO000000000013;PT;PT000180030091;07/06/2015;;;;
9;DO000000000014;PT;PT000180031350;07/06/2015;;;;
10;DO000000000022;OR;OR900000000000;07/06/2015;;;;
11;DO000000000023;OR;OR900000000003;07/06/2015;;;;
13;DO000000000028;ND;ND00018003001;07/06/2015;08/06/2015;;;
14;DO000000000029;ND;ND000180031330;07/06/2015;08/06/2015;;;
15;DO000000000030;ND;ND200180030502;07/06/2015;08/06/2015;;;
16;DO000000000031;ND;ND200180030502;07/06/2015;08/06/2015;;;
17;DO000000000032;BP;ND000180030675;07/06/2015;;;;
18;DO000000000033;BP;ND000180030091;07/06/2015;;;;
19;DO000000000034;BA;BA000180030508;07/06/2015;;;;
20;DO000000000036;ND;ND000180031330;07/06/2015;;;;
21;DO000000000007;ZN;ZN000180030001;08/06/2015;;;;
22;DO000000000009;ZS;ZS000000000007;08/06/2015;;;;
23;DO000000000019;ZD;ZD000180030001;08/06/2015;;;;
24;DO000000000035;RF;RF000000000001;08/06/2015;;;;
25;DO000000000037;RT;RT000000000006;08/06/2015;;;;
26;DO000000000015;ND;ND000180030502;08/06/2015;;;;
27;DO000000000015;ND;ND000180030503;08/06/2015;;;;
28;DO000000000015;CM;CM000180033134;08/06/2015;;;;
29;DO000000000015;CM;CM000180033569;08/06/2015;;;;
30;DO000000000015;CM;CM000180033570;08/06/2015;;;;
31;DO000000000015;CM;CM200180033134;08/06/2015;;;;
32;DO000000000016;ND;ND000180030064;08/06/2015;;;;
33;DO000000000016;ND;ND000180030065;08/06/2015;;;;
34;DO000000000016;ND;ND000180030072;08/06/2015;;;;
35;DO000000000016;ND;ND000180030091;08/06/2015;;;;
36;DO000000000016;ND;ND000180031091;08/06/2015;;;;
37;DO000000000016;ND;ND000180031092;08/06/2015;;;;
38;DO000000000016;ND;ND000180031093;08/06/2015;;;;
39;DO000000000016;ND;ND000180031100;08/06/2015;;;;
40;DO000000000016;ND;ND000180031101;08/06/2015;;;;
41;DO000000000016;CM;CM000180032598;08/06/2015;;;;
42;DO000000000016;CM;CM000180032599;08/06/2015;;;;
43;DO000000000016;CM;CM000180032602;08/06/2015;;;;
44;DO000000000016;CM;CM000180032956;08/06/2015;;;;
45;DO000000000016;CM;CM900180034418;08/06/2015;;;;
46;DO000000000016;CM;CM900180034419;08/06/2015;;;;
47;DO000000000016;CM;CM900180034420;08/06/2015;;;;
48;DO000000000016;CM;CM900180034421;08/06/2015;;;;
49;DO000000000016;CM;CM900180034422;08/06/2015;;;;
50;DO000000000016;CM;CM200180032598;08/06/2015;;;;
51;DO000000000017;ND;ND000180031094;08/06/2015;;;;
52;DO000000000017;ND;ND000180031094;08/06/2015;;;;
53;DO000000000017;ND;ND000180031094;08/06/2015;;;;
54;DO000000000017;ND;ND000180031094;08/06/2015;;;;
55;DO000000000017;ND;ND000180031094;08/06/2015;;;;
56;DO000000000017;ND;ND000180031094;08/06/2015;;;;
57;DO000000000017;ND;ND000180031094;08/06/2015;;;;
58;DO000000000017;ND;ND000180031094;08/06/2015;;;;
59;DO000000000017;CM;CM900180034601;08/06/2015;;;;
60;DO000000000017;CM;CM900180034602;08/06/2015;;;;
61;DO000000000017;CM;CM900180034603;08/06/2015;;;;
62;DO000000000017;CM;CM900180034604;08/06/2015;;;;
63;DO000000000017;CM;CM900180034605;08/06/2015;;;;
64;DO000000000017;CM;CM900180034606;08/06/2015;;;;
65;DO000000000017;CM;CM900180034607;08/06/2015;;;;
66;DO000000000018;ND;ND000180031227;08/06/2015;;;;
67;DO000000000018;ND;ND000180031330;08/06/2015;;;;
68;DO000000000018;ND;ND000180032722;08/06/2015;;;;
69;DO000000000018;CM;CM000180032958;08/06/2015;;;;
70;DO000000000018;CM;CM900180034416;08/06/2015;;;;
71;DO000000000018;CM;CM900180034417;08/06/2015;;;;
72;DO000000000020;ND;ND000180030502;08/06/2015;;;;
73;DO000000000020;ND;ND000180030503;08/06/2015;;;;
74;DO000000000020;CM;CM000180033134;08/06/2015;;;;
75;DO000000000020;CM;CM000180033569;08/06/2015;;;;
76;DO000000000020;CM;CM000180033570;08/06/2015;;;;
77;DO000000000020;CM;CM200180033134;08/06/2015;;;;
78;DO000000000021;ND;ND000180030502;08/06/2015;;;;
79;DO000000000021;ND;ND000180030503;08/06/2015;;;;
80;DO000000000021;CM;CM000180033134;08/06/2015;;;;
81;DO000000000021;CM;CM000180033569;08/06/2015;;;;
82;DO000000000021;CM;CM000180033570;08/06/2015;;;;
83;DO000000000021;CM;CM200180033134;08/06/2015;;;;
84;DO000000000024;ND;ND000180030064;08/06/2015;;;;
85;DO000000000024;ND;ND000180030065;08/06/2015;;;;
86;DO000000000024;ND;ND000180030072;08/06/2015;;;;
87;DO000000000024;ND;ND000180030091;08/06/2015;;;;
88;DO000000000024;ND;ND000180031091;08/06/2015;;;;
89;DO000000000024;ND;ND000180031092;08/06/2015;;;;
90;DO000000000024;ND;ND000180031093;08/06/2015;;;;
91;DO000000000024;ND;ND000180031100;08/06/2015;;;;
92;DO000000000024;ND;ND000180031101;08/06/2015;;;;
93;DO000000000024;CM;CM000180032598;08/06/2015;;;;
94;DO000000000024;CM;CM000180032599;08/06/2015;;;;
95;DO000000000024;CM;CM000180032602;08/06/2015;;;;
96;DO000000000024;CM;CM000180032956;08/06/2015;;;;
97;DO000000000024;CM;CM900180034418;08/06/2015;;;;
98;DO000000000024;CM;CM900180034419;08/06/2015;;;;
99;DO000000000024;CM;CM900180034420;08/06/2015;;;;
100;DO000000000024;CM;CM900180034421;08/06/2015;;;;
101;DO000000000024;CM;CM900180034422;08/06/2015;;;;
102;DO000000000024;CM;CM200180032598;08/06/2015;;;;
103;DO000000000025;ND;ND000180031094;08/06/2015;;;;
104;DO000000000025;ND;ND000180031284;08/06/2015;;;;
105;DO000000000025;ND;ND000180031287;08/06/2015;;;;
106;DO000000000025;ND;ND000180031292;08/06/2015;;;;
107;DO000000000025;ND;ND000180031301;08/06/2015;;;;
108;DO000000000025;ND;ND000180031350;08/06/2015;;;;
109;DO000000000025;ND;ND000180031413;08/06/2015;;;;
110;DO000000000025;ND;ND000180031414;08/06/2015;;;;
111;DO000000000025;CM;CM900180034601;08/06/2015;;;;
112;DO000000000025;CM;CM900180034602;08/06/2015;;;;
113;DO000000000025;CM;CM900180034603;08/06/2015;;;;
114;DO000000000025;CM;CM900180034604;08/06/2015;;;;
115;DO000000000025;CM;CM900180034605;08/06/2015;;;;
116;DO000000000025;CM;CM900180034606;08/06/2015;;;;
